LOCATION,FORMAL_NAME,LOC_CODE,PARK_TYPE,PARK_CLASS,GIS_ACRES,DESIGNATED,FIRST_AQ_DATE,MASTER_PLAN,MAINT_DIST,COUNCIL_DIST,POLICE_DIST,CROSS_STREETS,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,LATITUDE,LONGITUDE,MARKETING_CODE,FACILITIES,DIAGRAM,PHOTO,PARCEL_MATCH,BND_QC,GLOBALID
Legault Mountain,Legault Mountain Tracts,M30,Conservation Tract,Mountain,134.7896963,Yes,1924,2008,MP,None,None,,,,,,CO,,39.53270403,-105.24507263,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Deer Creek,Deer Creek Tract,M16,Conservation Tract,Mountain,88.79091534,Yes,0,2008,MP,None,None,,,13200 Deer Creek Canyon Road,,Littleton,CO,80127,39.54998961,-105.14575712,,"Riparian Natural Areas, Fishing",0,images/Parks/deercreekpark.jpg,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Diamond Hill,Diamond Hill Promenade,53,Open Space,Open Space,1.98823701,Not Eligible,2008,None,NW,1,1,26th Av & Zuni St,"356,940",2600 N Zuni St,,Denver,CO,,39.75273021,-105.01648863,,Bike/Pedestrian Path,documents/parkart/ParkArt_Diamond Hill Promenade.pdf,images/Parks/no_imagerec.gif,No,2009-03-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Eisenhower,Eisenhower (Mamie Doud) Park,630,Park,Community,20.21169233,Yes,1966,None,E,4,3,Dartmouth Av & Colorado Blvd,"143,822",4300 E Dartmouth Ave,,Denver,CO,,39.65955261,-104.93615048,PK,"Recreation Center, Grills, Picnic Shelter, Picnic Tables, Playground, Outdoor Pool, Restroom, Bike/Pedestrian Path, Football Field, Soccer Field, Horseshoe Pits, Tennis Court, Baseball / Softball Field, Flower Beds, Benches, Picnic Area",documents/parkart/ParkArt_Eisenhower (Mamie Doud) Park.pdf,images/Parks/eisenhowerpark.jpg,Yes,2009-01-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Hutchinson East,Hutchinson East Park,605,Open Space,Open Space,5.71255003,No,1973,2002,E,4,3,Dartmouth Av & Tamarac Dr,,8075 E Eastman Ave,,Denver,CO,,39.65870839,-104.89825071,,"Bike/Pedestrian Path, Open Space, Natural Areas",documents/parkart/ParkArt_Hutchinson East Park.pdf,images/Parks/hutchinsonpark.jpg,Yes,2009-01-09 00:00:00,{00000000-0000-0000-0000-000000000000}
La Familia Rec Center,La Familia Recreation Center,748,Grounds,Rec Center,0.85191463,No,1977,None,SW,9,4,Elati St & Archer Pl,"80,199",65 S Elati St,,Denver,CO,,39.71555586,-104.99435154,,Unlisted,0,,Yes,2014-10-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Platte River at Elitch Gardens,Platte River at Elitch Gardens,926,Open Space,Open Space,6.72077529,No,1976,None,NW,9,6,Platte River behind Elitch Gardens,,,,Denver,CO,,39.75040646,-105.01346538,,"Bike/Pedestrian Path, South Platte River Trail, Open Space, Natural Areas",0,images/Parks/no_imagerec.gif,Yes,2014-01-01 00:00:00,{00000000-0000-0000-0000-000000000000}
Ford Pl,Ford Pl,822,Park,Neighborhood,1.42971436,Not Eligible,1966,None,SW,3,4,Ford Pl - Irving St To King St,"94,262",3300 W Ford Pl,,Denver,CO,,39.69870113,-105.03137744,,"Passive Open Space, Benches",0,images/Parks/no_imagerec.gif,Yes,,{00000000-0000-0000-0000-000000000000}
Sand Creek Open Space,Sand Creek Open Space,559,Open Space,Special Use,24.73286351,Not Eligible,,None,NE,11,2,39th Ave & Xanthia St,"11,304",8601 E 39th Ave,,Denver,CO,,39.77260216,-104.88972613,,"Open Space, Natural Areas, Prairie Dog Habitat, Future Trunk Open Space",0,images/Parks/no_imagerec.gif,Yes,2010-03-18 00:00:00,{00000000-0000-0000-0000-000000000000}
Cranmer,Cranmer Park,407,Park,Community,24.16863041,Yes,1907,None,E,5,3,2nd Av & Cherry St,,4501 E 1st Ave,,Denver,CO,,39.71934829,-104.93549784,PK,"Benches, Drinking Fountain, Picnic Tables, Plaza, Flower Beds, Football Field, Soccer Field, Baseball / Softball Field, Scenic Views, Picnic Area",documents/parkart/ParkArt_Cranmer Park.pdf,images/Parks/cranmerpark.jpg,Yes,2008-12-02 00:00:00,{00000000-0000-0000-0000-000000000000}
Garfield Lake,Garfield Lake Park,807,Park,Community,29.0264922,Yes,1949,None,SW,3,4,Lowell Blvd & Mississippi Av,"97,182",3600 W Mississippi Ave,,Denver,CO,,39.69542306,-105.03556208,PK,"Lake, Benches, Picnic Tables, Outdoor Pool, Bike/Pedestrian Path, Baseball / Softball Field, Basketball Court, Fitness Course, Futsol Court, Football Field, Restroom, Playground, Picnic Area",documents/parkart/ParkArt_Garfield Lake Park.pdf,images/Parks/garfieldlakepark.jpg,No,2011-03-31 00:00:00,{00000000-0000-0000-0000-000000000000}
Grant Frontier,Grant Frontier Park,909,Park,Neighborhood,8.87755115,Partial,1920,None,SW,7,4,Platte River Dr & Warren Av,"356,997",2300 S Platte River Dr,,Denver,CO,,39.67397495,-104.99685738,PK,"Historical Site, Picnic Tables, Bike/Pedestrian Path, South Platte River Trail, Natural Areas, Playground, Drinking Fountain",documents/parkart/ParkArt_Grant Frontier Park.pdf,images/Parks/grantfrontierpark.jpg,Yes,2009-05-28 00:00:00,{00000000-0000-0000-0000-000000000000}
Washington,Washington Park,711,Park,Regional,157.48280079,Yes,1898,2011,SW,6,3,Downing St & Louisiana Av,"88,318",701 S Franklin St,,Denver,CO,,39.70007709,-104.97096086,PK,"Recreation Center, Flower Beds, Picnic Shelter, Benches, Drinking Fountain, Grills, Picnic Tables, Playground, Lake, Restroom, Tennis Court, Basketball Court, Bike/pedestrian Path, Horseshoe Pits, Lawn Bowling, Joggin Path, Picnic Area",documents/parkart/ParkArt_Washington Park.pdf,images/Parks/washingtonpark.jpg,Yes,2008-12-23 00:00:00,{00000000-0000-0000-0000-000000000000}
Inspiration Point,Inspiration Point Park,5,Park,Community,25.49842213,Yes,1907,None,NW,1,1,49th Av & Sheridan Blvd,"59,261",4901 N Sheridan Blvd,,Denver,CO,,39.7866249,-105.05673809,PK,"Picnic Tables, Benches, Bike/Pedestrian Path, Flower Beds, Natural Areas, Scenic Overlook",documents/parkart/ParkArt_Inspiration Point Park.pdf,images/Parks/inspirationpointpark.jpg,Yes,2009-08-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Vanderbilt East,Vanderbilt East Park,832,Future,Undeveloped,3.50734888,Yes,1922,None,SW,7,4,Ohio Av & Santa Fe Dr,"90,684",300 W Ohio Ave,,Denver,CO,,39.70133589,-104.99270822,,Undeveloped Park,documents/parkart/ParkArt_Vanderbilt East Park.pdf,images/Parks/vanderbiltpark.jpg,Yes,2009-07-17 00:00:00,{00000000-0000-0000-0000-000000000000}
Cheesman Esplanade,Cheesman Park Esplanade,313,Park,Neighborhood,2.66052374,Yes,1911,None,E,10,6,7th Av & Williams St,"356,740",750 N Williams St,,Denver,CO,,39.72819308,-104.96529818,,Passive Open Space,documents/parkart/ParkArt_Cheesman Park Esplanade.pdf,images/Parks/cheesmanpark.jpg,Yes,2009-01-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Northside,Northside Park,912,Park,Neighborhood,14.33929404,No,1998,2001,NW,9,2,51St & Downing St,,1400 E 53rd Ave,,Denver,CO,,39.7903327,-104.97241494,PK,"Bike/Pedestrian Path, Soccer Field, Drinking Fountain, South Platte River Trail",documents/parkart/ParkArt_Northside Park.pdf,images/Parks/northsidepark.jpg,No,2009-04-28 00:00:00,{00000000-0000-0000-0000-000000000000}
Mestizo-Curtis,Mestizo-Curtis Park,203,Park,Neighborhood,8.5231239,Yes,1868,2002,NW,8,6,31st Av & Curtis St,"42,599",3000 Curtis St,,Denver,CO,,39.76147909,-104.97555482,PK,"Picnic Tables, Benches, Playground, Outdoor Pool, Picnic Shelter, Basketball Court, Tennis Court, Bike/Pedestrian Path, Picnic Area",documents/parkart/ParkArt_Mestizo-Curtis Park.pdf,images/Parks/mestizocurtispark.jpg,Yes,2009-07-17 00:00:00,{00000000-0000-0000-0000-000000000000}
St Charles Pl,St. Charles Place Park,207,Park,Neighborhood,2.45571515,Partial,1915,None,NW,8,2,38th Av & Lafayette St,"40,021",3777 N Lafayette St,,Denver,CO,,39.76950856,-104.97143059,PK,"Recreation Center, Benches, Picnic Tables, Playground, Baseball / Softball Field, Basketball Court",documents/parkart/ParkArt_St. Charles Place Park.pdf,images/Parks/stcharlespark.jpg,No,2009-07-29 00:00:00,{00000000-0000-0000-0000-000000000000}
Robinson,Robinson Park,414,Park,Neighborhood,6.79142802,Yes,1941,None,E,5,3,3rd Av & Fairfax St,"264,359",200 N Fairfax St,,Denver,CO,,39.72020352,-104.92692905,PK,"Drinking Fountain, Benches, Picnic Tables, Playground, Restroom, Basketball Court, Football Field, Baseball / Softball FIeld, Bleachers, Picnic Area",documents/parkart/ParkArt_Robinson Park.pdf,images/Parks/robinsonpark.jpg,Yes,2008-12-02 00:00:00,{00000000-0000-0000-0000-000000000000}
City of Chennai,City of Chennai Park,660,Park,Neighborhood,7.71037883,Yes,1977,None,E,6,3,Cherry Creek & Quebec St,"356,780",1600 S Quebec St,,Denver,CO,,39.68651579,-104.90217723,PK,"Benches, Bike/Pedestrian Path, Natural Areas",documents/parkart/ParkArt_City of Chennai Park.pdf,images/Parks/citychenniapark.jpg,Yes,2008-12-12 00:00:00,{00000000-0000-0000-0000-000000000000}
Cheesman,Cheesman Park,312,Park,Regional,80.7644914,Yes,1890,2008,E,10,6,8th Av & Franklin St,"356,584",1599 E 8th Ave,,Denver,CO,,39.73278789,-104.96645337,PK,"Benches, Drinking Fountain, Pavilion, Picnic Tables, Playground, Flower Beds, Fountain, Walking/Jogging Path, Bike/Pedestrian Path, Shelter, Scenic Views, Picnic Area",documents/parkart/ParkArt_Cheesman Park.pdf,images/Parks/cheesmanpark.jpg,Yes,2009-01-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Buchtel Centennial,Buchtel Centennial Park,710,Park,Pocket,0.01208652,Yes,1927,None,SW,6,3,Buchtel Blvd & Josephine St,"356,728",1890 S Josephine St,,Denver,CO,,39.68216373,-104.95770073,PK,"Passive Open Space, Memorial / Monument",documents/parkart/ParkArt_Buchtel Centennial Park.pdf,images/Parks/buchtelcentennialpark.jpg,Yes,2008-12-23 00:00:00,{00000000-0000-0000-0000-000000000000}
Silverman,Silverman (Melvin F) Park,534,Park,Neighborhood,8.99355269,Yes,1966,None,NE,11,5,Andrews Dr & Titan Ct,"9,157",12875 E Andrews Dr,,Denver,CO,,39.78582173,-104.84029108,PK,"Benches, Picnic Shelter, Picnic Tables, Playground, Restroom, Drinking Fountain, Basketball Court, Football Field, Bike/Pedestrian Path, Picnic Area",documents/parkart/ParkArt_Silverman (Melvin F) Park.pdf,images/Parks/silvermanpark.jpg,Yes,2008-11-25 00:00:00,{00000000-0000-0000-0000-000000000000}
46th & Pecos,Unnamed 46th & Pecos Park,25,Park,Neighborhood,3.49010907,No,1948,None,NW,9,1,46th Av & Pecos St,"366,280",4601 N Pecos St,,Denver,CO,,39.78080377,-105.00722351,PK,"Football Field, Baseball / Softball Field ",documents/parkart/ParkArt_Unnamed 46th & Pecos Park.pdf,images/Parks/46thpecospark.jpg,No,2009-02-26 00:00:00,{00000000-0000-0000-0000-000000000000}
Maestas,Maestas (Eddie) Park,311,Park,Pocket,0.18070513,Yes,0,None,NW,9,6,Broadway & Lawrence,"54,847",2300 Lawrence St,,Denver,CO,,39.75507692,-104.98768417,,"Benches, Public Art",documents/parkart/ParkArt_Eddie Maestas Park.pdf,images/Parks/no_imagerec.gif,Yes,2009-08-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Martinez,Martinez (Joseph P) Park,29,Park,Neighborhood,11.67095641,Yes,1956,1998,NW,3,1,9th Av & Tennyson St,,900 N Raleigh St,,Denver,CO,,39.73055615,-105.04164816,PK,"Picnic Tables, Playground, Basketball Court, Baseball / Softball Field, Bike/Pedestrian Path, Lakewood Gulch Trail",documents/parkart/ParkArt_Martinez (Joseph P) Park.pdf,images/Parks/martinezpark.jpg,Yes,2009-02-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Golden Key,Golden Key Park,607,Park,Neighborhood,2.83246388,Yes,1967,None,E,4,3,Syracuse Way & Xeric Ct,,2900 S Syracuse Way,,Denver,CO,,39.66314864,-104.88675533,PK,"Picnic Tables, Playground, Basketball Court, Bike/pedestrian Path, Benches",documents/parkart/ParkArt_Golden Key Park.pdf,images/Parks/goldenkeypark.jpg,Yes,2009-01-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Mount Judge,Mount Judge Tract,M35,Conservation Tract,Mountain,351.70125091,Yes,0,2008,MP,None,None,,,,,,CO,,39.6639288,-105.45209212,,"Scenic View, Wildlife Habitat, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-24 00:00:00,{00000000-0000-0000-0000-000000000000}
Garland,Garland (David T) Park,728,Park,Community,50.33083264,Yes,1955,None,E,6,3,Holly St & Mississippi Av,"139,068",6300 E Mississippi Ave,,Denver,CO,,39.69538813,-104.91688158,PK,"Lake, Benches, Flower Beds, Drinking Fountain, Picnic Tables, Playground, Restroom, Baseball / Softball Field, Basketball Court, Bike/Pedestrian Path, Football Field, Sand Volleyball Court, Tennis Court, Picnic Area",documents/parkart/ParkArt_Garland (David T) Park.pdf,images/Parks/garlandpark.jpg,No,2008-12-12 00:00:00,{00000000-0000-0000-0000-000000000000}
Derby Canal,Derby Canal,563,Future,Undeveloped,6.5587252,Not Eligible,2008,None,NE,11,5,45th Av & Telluride St,,4500 N Telluride St,,Denver,CO,,39.78238872,-104.78509632,,Undeveloped Park,0,images/Parks/no_imagerec.gif,Yes,2009-05-28 00:00:00,{00000000-0000-0000-0000-000000000000}
Harvard Gulch West,Harvard Gulch West,145,Park,Neighborhood,12.02612135,Partial,1970,2010,SW,7,4,Decatur St & Vassar Av,"118,037",2525 S Decatur St,,Denver,CO,,39.67118135,-105.02381763,PK,"Recreation Center, Baseball / Softball Field, Playground, Benches, Picnic Tables, Bike/Pedestrian Path, West Harvard Gulch Trail, Basketball Court",documents/parkart/ParkArt_Harvard Gulch West Park.pdf,images/Parks/harvardgulchwestpark.jpg,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Ruby Hill,Ruby Hill Park,827,Park,Regional,81.94096143,Yes - 2013 April,1919,2008,SW,7,4,Florida Av & Platte River Dr,"248,356",1200 W Florida Ave,,Denver,CO,,39.68601426,-105.00390377,PK,"Picnic Shelter, Picnic Tables, Benches, Playground, Outdoor Pool, Restroom, Baseball / Softball Field, Bike/Pedestrian Path, Natural Areas, Drinking Fountain, Flower Beds, Pavilion, Picnic Area",documents/parkart/ParkArt_Ruby Hill Park.pdf,images/Parks/rubyhillpark.jpg,No,2009-05-28 00:00:00,{00000000-0000-0000-0000-000000000000}
Byers & Pecos,Unnamed Byers & Pecos Park,831,Park,Pocket,0.99196919,Yes,1966,None,SW,7,4,Byers Pl & Pecos St,"366,374",1400 W Byers Pl,,Denver,CO,,39.71189448,-105.00701228,PK,"Benches, Playground, Basketball Court, Picnic Tables",documents/parkart/ParkArt_Unnamed Byers & Pecos Park.pdf,images/Parks/byerspecospark.jpg,Yes,2009-07-17 00:00:00,{00000000-0000-0000-0000-000000000000}
Jefferson,Jefferson Park,16,Park,Neighborhood,6.64940498,Yes,1899,None,NW,1,1,22nd Av & Clay St,"52,168",2201 N Clay St,,Denver,CO,,39.75060468,-105.02208039,PK,"Benches, Picnic Shelter, Picnic Tables, Playground, Restroom, Drinking Fountain, Basketball Court, Picnic Area",documents/parkart/ParkArt_Jefferson Park.pdf,images/Parks/jeffersonpark.jpg,Yes,2008-11-20 00:00:00,{00000000-0000-0000-0000-000000000000}
Central Park Rec Center,Central Park Rec Center,567,Grounds,Rec Center,10.59726672,No,2010,None,NE,11,2,MLK Blvd & Elmira St,"350,100",9651 E Martin Luther King Jr Blvd,,Denver,CO,,39.76087548,-104.87453712,,"Recreation Center, Bike/Pedestrian Path",,,Yes,2011-02-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Zeckendorf Plaza,Zeckendorf Plaza Park,335,Park,Pocket,0.34146351,Yes,1966,None,NW,10,3,Broadway & Speer Blvd,,675 N Lincoln St,,Denver,CO,,39.72704633,-104.98650793,PK,"Picnic Tables, Public Art",documents/parkart/ParkArt_Zeckendorf Plaza Park.pdf,images/Parks/zeckendorfpark.jpg,Yes,2009-01-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Barnum East,Barnum East Park,803,Park,Athletic Multiuse Complex,12.15351307,Yes,1937,In Progress,SW,9,4,5th Av & Federal Blvd,"75,508",500 N Federal Blvd,,Denver,CO,,39.72425186,-105.02361821,PK,"Drinking Fountain, Restroom, Baseball / Softball Field Complex, Bleachers",documents/parkart/ParkArt_Barnum East Park.pdf,images/Parks/barnumparkeast.jpg,No,2009-02-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Flores,Flores (Hector M) Park,322,Park,Pocket,0.35969372,Yes,1971,None,SW,9,4,4th Av & Galapago St,"79,245",621 W 4th Ave,,Denver,CO,,39.72278504,-104.9960523,PK,"Picnic Tables, Playground, Basketball Court, Drinking Fountain, Benches",documents/parkart/ParkArt_Flores (Hector M) Park.pdf,images/Parks/florespark.jpg,Yes,2009-01-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Jackie Robinson Fields,Jackie Robinson Fields,L10,Park,Athletic Multiuse Complex,19.63968889,Yes - 2014 May,2000,2000,NE,5,3,Lowry Blvd Pkwy & Uinta Way,"157,887",8250 E Lowry Blvd,,Denver,CO,,39.71892159,-104.89003945,PK,"Baseball / Softball Field Complex, Press Box, Restroom, Pavilion, Drinking Fountain, Benches",documents/parkart/ParkArt_Jackie Robinson Fields.pdf,images/Parks/jackierobinsonpark.jpg,No,2009-05-19 00:00:00,{00000000-0000-0000-0000-000000000000}
Sanderson Gulch,Sanderson Gulch,828,Open Space,Open Space,52.33150645,Partial,1951,2010,SW,2/7,4,Platte River to Sheridan Blvd,,4000 W Mexico Ave,,Denver,CO,,39.69216699,-105.00285133,PK,"Playground, Bike/Pedestrian Path, Sanderson Gulch Trail, Basketball Court, Baseball / Softball Field, Natural Areas, Picnic Tables, Benches",documents/parkart/ParkArt_Sanderson Gulch Open Space.pdf,images/Parks/sandersongulchpark.jpg,No,2009-08-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Willis Case Golf Course,Willis Case Municipal Golf Course,GW2,Golf,Golf,119.44693346,Yes,1906,None,NW,1,1,50th Av & Tennyson St,"26,175",4600 W 50th Ave,,Denver,CO,,39.78801322,-105.05089067,,Unlisted,documents/parkart/WillisCaseGolfCourse.pdf,,No,2009-08-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Lake of Lakes,Lake of Lakes Park,157,Open Space,Open Space,5.61392021,Yes,1975,None,SW,2,4,Balsam St & Quincy Av,"168,641",8300 W Quincy Ave,,Denver,CO,,39.63804571,-105.09006873,,"Lake, Open Space, Natural Areas",documents/parkart/ParkArt_Lake of Lakes Park.pdf,images/Parks/no_imagerec.gif,Yes,2009-08-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Strain Gulch,Strain Gulch Tract,M49,Conservation Tract,Mountain,38.66607913,Yes,1924,2008,MP,None,None,,,,,,CO,,39.63284623,-105.20957812,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Mount Falcon,Mount Falcon Tract,M34,Conservation Tract,Mountain,84.42883873,Yes,1924,2008,MP,None,None,,,,,,CO,,39.62587029,-105.21726227,,"Scenic View, Natural Open Space",documents/parkart/ParkArt_mtfalcmp.pdf,images/Parks/mtfalconpark.jpg,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Birch Hill,Birch Hill Tract,M07,Conservation Tract,Mountain,163.74284126,Yes,0,2008,MP,None,None,,,,,,CO,,39.6041181,-105.24514682,,"Scenic View, Wildlife Habitat, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Stanley,Stanley Park Tract,M46,Conservation Tract,Mountain,74.30817413,Yes,1924,2008,MP,None,None,,,,,,CO,,39.60582044,-105.28463527,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Bell,Bell Park,M03,Park,Mountain,477.13617682,Yes,1924,2008,MP,None,None,,,,,,CO,,39.61636477,-105.30069193,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-20 00:00:00,{00000000-0000-0000-0000-000000000000}
Cub Creek,Cub Creek Park,M13,Park,Mountain,520.53095631,Yes,1922,2008,MP,None,None,,,5700 South Brook Forest Road,,Evergreen,CO,80439,39.61571315,-105.32416549,MP,"Picnic Area, Picnic Tables, Restroom",,images/Parks/cubcreekpark.jpg,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Dedisse,Dedisse Park,M15,Park,Mountain,420.55218804,Yes,0,2008,MP,None,None,,,29200 Upper Bear Creek Road,,Evergreen,CO,80439,39.6321983,-105.33414325,MP,"Historic Shelter, Picnic Area, Tables, Grills, Volleyball Court, Horseshoe Pits, Lake, Lakehouse, Boat Rentals, Ice Skating, Events, Trail, Golf Course, Clubhouse, Restaurant, Nature Center, Pioneer Trail, Dedisse Park Trail",documents/parkart/Dedisse_ParkMap.pdf,images/Parks/dedissepark.jpg,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Observatory,Observatory Park,818,Park,Neighborhood,10.4461719,Yes,1904,None,SW,6,3,Evans Av & Fillmore St,"110,290",2100 S Fillmore St,,Denver,CO,,39.67571245,-104.95296523,PK,"Observatory, Picnic Tables, Playground, Restroom, Drinking Fountain, Basketball Court, Multi-purpose Field (Lacrosse, Rugby, Soccer), Baseball / Softball Field, Tennis Court, Picnic Area",documents/parkart/ParkArt_Observatory Park.pdf,images/Parks/observatorypark.jpg,Yes,2008-12-23 00:00:00,{00000000-0000-0000-0000-000000000000}
Elephant Butte,Elephant Butte Tract,M20,Conservation Tract,Mountain,630.04679623,Yes,1924,2008,MP,None,None,,,,,,CO,,39.62973304,-105.37472333,,"Wilderness Area, Scenic View, Wildlife Habitat",0,images/Parks/no_imagerec.gif,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
